"purchase","nTab","moCbook","iRecMer1","propSpec","recW4","moShoe","nWoApp","nMen","llDol"
0,1,50,0.0456070958,0.68,50,36.005256242,1,0,-2.302585093
0,0,50,0.0196078431,0.68,50,50,5,0,-2.302585093
0,4,50,0.0196078431,0.2405413534,50,50,0,3,-2.302585093
0,0,50,0.1511119936,0,50,50,8,0,-2.302585093
0,23,7.8186596583,0.1650401214,0,50,1.9053876478,66,0,5.508578292
0,0,50,0.0211324318,0.68,50,50,2,0,-2.302585093
0,1,50,0.0196078431,0,50,50,0,0,-2.302585093
0,0,50,0.0681838545,0.3333594823,50,50,1,1,-2.302585093
0,0,50,0.0196078431,0,50,50,0,0,-2.302585093
0,0,50,0.0196078431,0.68,50,50,0,0,-2.302585093
0,0,50,0.0196078431,0.68,50,50,0,0,-2.302585093
0,0,50,0.0196078431,0.68,50,50,0,0,-2.302585093
0,0,50,0.0196078431,0.68,50,50,0,0,-2.302585093
0,1,50,0.0262540537,0.68,50,37.08935611,1,0,-2.302585093
0,0,50,0.0400821658,0.68,50,50,4,0,-2.302585093
0,3,50,0.0398721576,0.8752713391,24.080157687,13.600525624,5,0,-2.302585093
0,0,50,0.0707183347,0.68,50,50,1,0,-2.302585093
0,1,50,0.0196078431,0.68,50,50,0,0,-2.302585093
1,27,8.5085413929,0.6156957929,0.1819649301,31.668856767,0.6241787122,21,1,4.3831510023
0,1,50,0.0196078431,0,50,50,0,0,-2.302585093
0,0,50,0.0305181264,0.68,50,50,4,0,-2.302585093
0,4,20.466491459,0.0671312632,0.68,13.896189225,24.704336399,22,0,4.0543902467
0,0,50,0.0196078431,0.68,50,50,0,0,-2.302585093
0,3,19.38239159,0.049061956,0.68,50,50,4,0,4.8047584777
0,0,50,0.0196078431,0.68,50,50,0,0,-2.302585093
0,2,50,0.3930785124,0,50,1.544021025,2,0,-2.302585093
0,1,43.035479632,0.0196078431,0.68,50,50,0,0,-2.302585093
0,1,50,0.0715494547,0.68,50,29.270696452,3,0,-2.302585093
0,0,50,0.0196078431,0,50,50,0,0,-2.302585093
0,3,50,0.0338432803,0.68,50,39.914586071,11,0,-2.302585093
0,0,50,0.0196078431,0.68,50,50,0,0,-2.302585093
0,1,50,0.0196078431,0.68,50,50,0,0,4.0531752852
0,0,50,0.0196078431,0.68,50,50,0,0,-2.302585093
0,0,50,0.1260768721,0,50,50,16,0,-2.302585093
0,0,50,0.0196078431,0,50,3.2194480946,0,0,-2.302585093
0,15,8.9027595269,0.1590054325,0,50,50,48,0,5.0496636811
0,0,50,0.0314970407,0.68,50,50,2,0,-2.302585093
0,0,50,0.1705895539,0,50,50,1,0,-2.302585093
0,0,50,0.0196078431,0.68,50,50,0,0,-2.302585093
0,2,50,0.0374673822,0.68,50,50,0,0,-2.302585093
0,7,50,0.1432875165,0,5.9789750329,7.8186596583,6,0,-2.302585093
0,0,50,0.0196078431,1,50,50,0,0,-2.302585093
0,0,50,0.0196078431,0,50,50,0,0,-2.302585093
0,0,50,0.1097174164,0,50,50,2,1,-2.302585093
0,0,50,0.0196078431,0.68,50,50,0,0,-2.302585093
0,0,50,0.0196078431,0.68,50,50,0,0,-2.302585093
0,0,50,0.0196078431,0.68,50,50,0,0,-2.302585093
0,0,50,0.0196078431,0.68,50,50,0,0,-2.302585093
0,0,50,0.0196078431,0.68,50,50,0,0,-2.302585093
0,0,50,0.0196078431,0.68,50,50,0,0,-2.302585093
0,0,50,0.0858819546,0.68,50,50,6,0,-2.302585093
0,0,50,0.0196078431,0.68,50,50,0,0,-2.302585093
0,1,50,0.0325756603,0.68,50,50,11,0,-2.302585093
0,0,50,0.0196078431,0.68,50,50,0,0,-2.302585093
0,0,50,0.036523325,0,50,50,2,1,-2.302585093
0,0,50,0.0713816715,0.68,50,50,1,0,-2.302585093
0,0,50,0.0239225425,0.68,50,50,2,0,-2.302585093
0,0,50,0.042726405,0.68,50,22.404730618,0,0,-2.302585093
0,0,50,0.0196078431,0.68,50,50,0,0,-2.302585093
0,0,50,0.5393338058,0,50,50,9,0,-2.302585093
0,0,50,0.0196078431,0.68,50,50,0,0,-2.302585093
0,0,50,0.0196078431,0.68,50,50,0,0,-2.302585093
0,6,50,0.1315243692,0,50,50,0,1,-2.302585093
0,0,50,0.0196078431,0.68,50,50,0,0,-2.302585093
0,0,50,0.1432875165,0,50,50,10,0,-2.302585093
0,0,50,0.0291727363,0,50,50,2,0,-2.302585093
0,0,50,0.0669835402,0.68,50,50,1,0,-2.302585093
0,3,50,0.0434583976,0.68,50,50,2,0,-2.302585093
0,0,50,0.0196078431,0.68,50,50,0,0,-2.302585093
0,0,50,0.0196078431,0,50,50,0,0,-2.302585093
0,0,50,0.0196078431,0.68,50,50,0,0,-2.302585093
0,0,50,0.0196078431,0,50,50,0,0,-2.302585093
0,1,50,0.2486115648,0,27.365308804,3.0223390276,4,1,2.9491646377
0,0,50,0.0263449422,0.68,50,37.023653088,1,0,-2.302585093
0,1,50,0.0196078431,0.68,50,50,0,0,-2.302585093
0,1,50,0.0196078431,0.68,50,50,0,0,-2.302585093
0,1,50,0.0196078431,0,50,22.76609724,0,0,-2.302585093
0,0,50,0.0352543315,0.68,50,50,2,0,-2.302585093
0,0,50,0.0292849996,0.68,50,50,1,0,-2.302585093
0,2,50,0.0280956952,0.68,50,50,5,0,-2.302585093
0,0,50,0.0230529218,0.68,50,50,1,0,-2.302585093
0,7,50,0.7718052738,0.2703129393,26.445466491,29.369250986,14,3,4.0084234997
0,0,50,0.0432730581,0.68,50,50,1,0,-2.302585093
1,19,50,0.1807171693,0,50,15.768725361,12,0,4.3267781604
1,0,50,0.2591961853,0,50,50,1,0,-2.302585093
0,1,50,0.0196078431,0.68,50,50,0,0,-2.302585093
0,1,50,0.0315623574,0.68,30.683311432,50,1,0,-2.302585093
0,3,50,0.0300659792,0.68,50,50,19,0,-2.302585093
0,4,50,0.0584889709,0.68,50,50,3,0,-2.302585093
0,0,50,0.0223751139,0.68,43.692509855,50,1,0,-2.302585093
0,5,42.936925099,0.4954427083,0,50,4.4349540079,47,0,-2.302585093
0,0,50,0.0196078431,0.68,50,50,0,0,-2.302585093
0,1,50,0.0196078431,0.68,50,50,0,0,-2.302585093
0,0,50,0.0196078431,0.68,50,50,0,0,-2.302585093
0,0,50,0.0196078431,0.68,50,50,0,0,-2.302585093
0,0,50,0.0196078431,0.68,50,50,0,0,-2.302585093
0,0,50,0.0196078431,0.68,50,50,0,0,-2.302585093
0,0,50,0.0196078431,0,50,50,0,0,-2.302585093
0,0,50,0.0196078431,0.68,50,50,0,0,-2.302585093
0,1,50,0.0196078431,0,50,50,0,0,-2.302585093
0,7,50,0.4581577363,0,50,50,4,0,3.1813816204
0,0,50,0.0359199471,0.68,50,50,6,0,-2.302585093
0,0,50,0.0196078431,0.68,50,50,0,0,-2.302585093
0,0,50,0.0196078431,0.68,50,50,0,0,-2.302585093
0,0,50,0.0196078431,0.68,50,50,0,0,-2.302585093
0,4,50,0.063095929,0.1194078176,50,50,1,0,-2.302585093
0,4,50,0.1225245532,0,50,35.873850197,9,0,-2.302585093
0,0,50,0.0196078431,0.68,50,50,0,0,-2.302585093
0,0,50,0.0196078431,0,50,50,0,0,-2.302585093
0,4,50,0.4202098288,0,8.1143232589,50,10,1,-2.302585093
0,0,50,0.0196078431,0.68,50,50,0,0,-2.302585093
0,0,50,0.0196078431,0.68,50,50,0,0,-2.302585093
0,0,50,0.0196078431,0.68,50,50,0,0,-2.302585093
0,6,50,0.0196078431,0.68,50,50,0,0,5.9298284764
0,2,50,0.0741643115,0.68,50,12.483574244,11,0,-2.302585093
0,3,20.039421813,0.0475298232,0,50,20.039421813,18,2,4.0349483523
0,0,50,0.0703912682,0.68,50,50,1,0,-2.302585093
0,5,50,0.0681838545,0.68,26.018396846,46.977660972,19,0,-2.302585093
0,2,50,0.4798234552,0,50,50,4,1,-2.302585093
0,0,50,0.0196078431,0.68,50,50,0,0,-2.302585093
0,1,50,0.0196078431,0.68,50,50,0,0,-2.302585093
0,0,50,0.0196078431,0,50,50,0,1,-2.302585093
1,11,27.759526938,0.0974267059,0,50,35.282522996,15,1,3.6911269267
0,0,50,0.0196078431,0.68,50,50,0,0,-2.302585093
0,0,50,0.0196078431,0.68,50,50,0,0,-2.302585093
0,1,50,0.028173707,0.424714526,50,50,2,1,-2.302585093
0,0,50,0.0196078431,0.68,50,50,0,0,-2.302585093
0,0,50,0.0196078431,0.68,50,50,0,0,-2.302585093
0,2,50,0.4034994698,0,50,1.7739816032,7,3,-2.302585093
0,0,50,0.0196078431,0.68,50,50,0,0,-2.302585093
0,1,50,0.1909182137,0,50,4.2378449409,31,0,-2.302585093
0,0,50,0.0196078431,0.68,50,50,0,0,-2.302585093
0,1,50,0.0385101969,0.68,24.967148489,27.628120894,2,0,-2.302585093
0,0,50,0.1828887287,0,4.4678055191,40.538764783,13,0,-2.302585093
0,0,50,0.0196078431,0.68,50,50,0,0,-2.302585093
0,2,50,0.4581577363,0,50,50,3,2,-2.302585093
1,9,8.9027595269,0.3737721022,0,50,32.358738502,17,1,-2.302585093
0,3,50,0.0196078431,0,50,22.536136662,0,2,-2.302585093
0,7,20.49934297,0.0918416606,0.68,38.009198423,20.49934297,9,0,3.0002221788
0,1,50,0.036523325,0.68,50,50,3,0,-2.302585093
0,0,50,0.1526273566,0,50,5.5519053876,1,0,-2.302585093
0,16,50,0.23699782,0.3647437087,50,18.232588699,11,0,-2.302585093
0,0,50,0.0196078431,0.68,50,50,0,0,-2.302585093
0,9,46.156373193,0.3692382339,0,50,46.156373193,5,0,3.9138213874
0,1,50,0.0411106909,0.68,23.32457293,50,2,0,-2.302585093
0,0,50,0.0196078431,0,50,50,0,0,-2.302585093
0,0,50,0.033619014,0,50,28.745072273,1,0,-2.302585093
0,0,50,0.0196078431,0.68,50,50,0,0,-2.302585093
0,3,40.99868594,0.0238102688,0.68,50,50,1,0,-2.302585093
0,0,50,0.5917573872,0,50,0.6898817346,0,0,-2.302585093
0,2,50,0.0355424782,0.68,50,50,4,0,-2.302585093
0,0,50,0.0196078431,0,50,50,0,0,-2.302585093
0,0,50,0.1338374956,0,50,50,1,0,-2.302585093
0,1,50,0.0241502967,0.68,40.407358739,50,4,0,-2.302585093
0,5,40.801576873,0.0306101927,0,50,40.801576873,10,4,5.0242751798
0,1,50,0.0196078431,0.68,50,50,0,0,3.2224693604
0,0,50,0.0196078431,0.68,50,50,0,0,-2.302585093
0,0,50,0.0196078431,0.8513821646,50,50,6,1,-2.302585093
0,0,50,0.0196078431,0.68,50,50,0,0,-2.302585093
0,0,50,0.0196078431,0.68,50,50,0,0,-2.302585093
0,2,50,0.0196078431,0.68,50,50,0,0,-2.302585093
0,0,50,0.0569568146,0.68,50,50,2,0,-2.302585093
0,5,50,0.0377930075,0.68,50,50,1,0,4.8840889728
0,3,50,0.6554694229,0.4728202942,50,50,16,2,5.3472503777
0,0,50,0.4447691409,0,50,50,3,0,-2.302585093
0,0,50,0.0196078431,0.68,50,50,0,0,-2.302585093
0,0,50,0.0196078431,0.68,50,50,0,0,-2.302585093
0,0,50,0.0196078431,0.68,50,50,0,0,-2.302585093
0,0,50,0.0196078431,0.68,50,50,0,0,-2.302585093
0,1,50,0.0196078431,0.68,50,50,0,0,-2.302585093
0,6,50,0.0572783381,0.68,20.926412615,50,11,0,4.9840174962
0,9,50,0.0484374005,0.68,50,43.134034166,3,0,5.4530535892
0,4,50,0.3930785124,0,50,8.7385019711,17,1,-2.302585093
0,0,50,0.0196078431,0.68,50,50,0,0,-2.302585093
0,0,50,0.0196078431,0.68,50,50,0,0,-2.302585093
0,0,50,0.0196078431,0.68,50,50,0,0,-2.302585093
0,0,50,0.0196078431,0.68,50,50,0,0,-2.302585093
0,10,50,0.2446158791,0,22.174770039,50,6,0,5.0042147263
0,1,50,0.0196078431,0,50,50,0,0,-2.302585093
0,3,50,0.1016564253,0.68,9.9868593955,50,17,0,-2.302585093
0,1,50,0.0196078431,0.68,50,50,0,0,-2.302585093
0,2,50,0.0502774841,0.68,50,50,1,0,3.8732821771
0,0,50,0.0196078431,0.68,50,50,0,0,-2.302585093
0,0,50,0.0270231881,0.68,50,50,3,0,-2.302585093
0,0,50,0.0552009285,0.68,50,50,1,0,-2.302585093
0,0,50,0.0196078431,0.68,50,50,0,0,-2.302585093
0,0,50,0.027511659,0.68,50,50,4,0,-2.302585093
0,0,50,0.0196078431,0.68,50,50,0,0,-2.302585093
0,0,50,0.0196078431,0.68,50,50,0,0,-2.302585093
0,4,22.240473062,0.043028384,0.68,29.369250986,50,6,0,4.7190344421
0,0,50,0.0211324318,0.68,50,50,1,0,-2.302585093
0,5,50,0.7918834547,0,0.2628120894,0.2628120894,2,0,5.0111018519
0,4,33.837056505,0.0519064184,0.68,50,50,14,0,-2.302585093
0,4,50,0.0507807287,0.68,38.107752957,24.967148489,13,0,-2.302585093
0,0,50,0.0196078431,0.68,50,50,0,0,-2.302585093
0,0,50,0.0196078431,0.68,50,50,0,0,-2.302585093
0,3,50,0.0420767444,0,50,10.972404731,1,0,4.0958434383
0,0,50,0.0196078431,0.68,50,50,0,0,-2.302585093
0,4,50,0.0435828418,0.68,50,50,4,0,-2.302585093
0,0,50,0.0196078431,0.68,50,50,0,0,-2.302585093
0,1,50,0.0196078431,0.68,50,50,0,0,-2.302585093
0,1,50,0.1696388765,0,50,6.7345597898,3,0,-2.302585093
0,0,50,0.0196078431,0.68,50,50,0,0,-2.302585093
0,0,50,0.0196078431,0.68,50,50,0,0,-2.302585093
0,0,50,0.0196078431,0,50,50,0,0,-2.302585093
0,0,50,0.4581577363,0.198903819,50,50,3,0,-2.302585093
0,1,50,0.0569568146,0.68,50,50,0,0,-2.302585093
0,1,50,0.0828434574,0.68,50,50,1,0,4.9701604615
0,0,50,0.0196078431,0,50,50,0,1,-2.302585093
0,1,50,0.0894136999,0.68,50,28.613666229,6,0,-2.302585093
0,0,50,0.0196078431,0.68,50,50,0,0,-2.302585093
0,0,50,0.0196078431,0.68,50,50,0,0,-2.302585093
0,0,50,0.0196078431,0,50,50,0,0,-2.302585093
0,0,50,0.4202098288,0,50,50,0,1,-2.302585093
0,4,44.678055191,0.0298302693,0.68,50,50,8,0,-2.302585093
0,3,50,0.0284901352,0.68,50,45.105124836,5,0,-2.302585093
0,5,50,0.3784186972,0,50,50,6,0,-2.302585093
0,0,50,0.0196078431,0.68,50,50,0,0,-2.302585093
0,0,50,0.0234074621,0.68,50,50,2,0,-2.302585093
0,0,50,0.0196078431,0.68,50,50,0,0,-2.302585093
0,0,50,0.0196078431,0.68,50,50,0,0,-2.302585093
0,0,50,0.0196078431,0.68,50,50,0,0,-2.302585093
0,0,50,0.0196078431,0,50,50,0,0,-2.302585093
0,0,50,0.1332516197,0,50,50,10,0,-2.302585093
0,2,50,0.0373295399,0,36.596583443,2.4638633377,5,1,-2.302585093
0,3,50,0.1668493751,0,8.14717477,50,5,0,-2.302585093
0,3,50,0.0196078431,0.5740383903,50,50,0,1,-2.302585093
0,0,50,0.4875080077,0,50,50,1,0,-2.302585093
0,8,22.339027595,0.0196078431,0.5653182543,50,22.174770039,0,2,4.0956770075
